lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,12.91792,13.97608,22.96464,30.964160000000003,67.8,74.8,108.4,144.2,1.0,1.4,2.4,3.2,2.6,5.8,8.4,11.6,0.5273,0.7721799999999999,1.21144,1.5957599999999998,27.783040000000007,65.0048,109.19223656,150.90179935999998,0.0,0.6700000000000002,2.4080000000000004,3.03,0.0,1.4,6.8,9.0,0.0,0.0,0.0,0.0,0.0,-1.2,-2.8,-2.8,0.0,-0.028,0.0639999999999999,0.1199999999999999,0.0,-3.8040000000000007,-10.314844,-12.916266000000002,qmof-000dce3
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmof-000dce3
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.9696,16.527466666666665,18.905066666666663,21.322666666666663,59.0,88.66666666666667,102.66666666666669,96.66666666666669,1.0,1.6666666666666667,2.0,2.6666666666666665,3.6666666666666665,7.0,8.666666666666666,12.0,0.5427666666666666,0.9225,1.115,1.3194666666666668,36.98,80.16666666666667,114.40000000000002,157.835076,0.0,0.1633333333333334,0.9200000000000004,2.0733333333333337,0.0,0.3333333333333333,2.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.3333333333333333,0.0,-0.0066666666666666,-0.04,0.1866666666666666,0.0,-1.3,-6.6000000000000005,-8.671406666666668,qmof-000dce3
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.9696,16.527466666666665,21.1344,26.368,59.0,88.66666666666667,105.0,102.0,1.0,1.6666666666666667,2.333333333333333,3.333333333333333,3.6666666666666665,8.0,11.333333333333334,13.333333333333334,0.5427666666666666,0.9225,1.2074999999999998,1.4995333333333336,36.98,80.16666666666667,125.51753800000002,173.76019800000003,0.0,0.1633333333333334,1.2000000000000002,2.9,0.0,0.3333333333333333,4.0,12.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.6666666666666667,-2.0,0.0,-0.0066666666666666,0.0866666666666666,0.4266666666666666,0.0,-1.3,-5.635703333333335,-8.142813333333335,qmof-000dce3
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,12.91792,13.97608,22.96464,30.964160000000003,67.8,74.8,108.4,144.2,1.0,1.4,2.4,3.2,2.6,5.8,8.4,11.6,0.5273,0.7721799999999999,1.21144,1.5957599999999998,27.783040000000007,65.0048,109.19223656,150.90179935999998,0.0,0.6700000000000002,2.4080000000000004,3.03,0.0,1.4,6.8,9.0,0.0,0.0,0.0,0.0,0.0,-1.2,-2.8,-2.8,0.0,-0.028,0.0639999999999999,0.1199999999999999,0.0,-3.8040000000000007,-10.314844,-12.916266000000002,qmof-000dce3
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmof-000dce3
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmof-000dce3
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.9696,16.527466666666665,18.905066666666663,21.677333333333333,59.0,88.66666666666667,102.66666666666669,108.33333333333331,1.0,1.6666666666666667,2.0,2.6666666666666665,3.6666666666666665,7.0,8.666666666666666,14.0,0.5427666666666666,0.9225,1.115,1.4194666666666669,36.98,80.16666666666667,114.40000000000002,174.59087133333333,0.0,0.1633333333333334,0.9200000000000004,1.956666666666667,0.0,0.3333333333333333,2.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-2.0,0.0,-0.0066666666666666,-0.04,0.0533333333333332,0.0,-1.3,-6.6000000000000005,-10.935703333333334,qmof-000dce3
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmof-000dce3
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.9696,16.527466666666665,18.905066666666663,21.322666666666663,59.0,88.66666666666667,102.66666666666669,96.66666666666669,1.0,1.6666666666666667,2.0,2.6666666666666665,3.6666666666666665,7.0,8.666666666666666,12.0,0.5427666666666666,0.9225,1.115,1.3194666666666668,36.98,80.16666666666667,114.40000000000002,157.835076,0.0,0.1633333333333334,0.9200000000000004,2.0733333333333337,0.0,0.3333333333333333,2.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.3333333333333333,0.0,-0.0066666666666666,-0.04,0.1866666666666666,0.0,-1.3,-6.6000000000000005,-8.671406666666668,qmof-000dce3
