f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
191.469,344.8214,572.8795999999999,675.5977999999999,958.0,1736.0,2676.0,3070.0,22.0,46.0,74.0,88.0,124.0,316.0,426.0,476.0,11.1078,24.781800000000008,37.69699999999999,43.62080000000001,qmof-000dce3
141.3994,280.551,453.5804,514.8969999999999,622.0,1248.0,1796.0,1882.0,20.0,42.0,68.0,80.0,114.0,292.0,388.0,412.0,8.882000000000001,20.9594,30.61480000000001,33.7552,qmof-000dce3
141.3994,280.55100000000004,453.58040000000005,514.8969999999999,622.0,1248.0,1796.0,1882.0,20.0,42.0,68.0,80.0,114.0,292.0,388.0,412.0,8.882000000000001,20.95940000000001,30.61480000000001,33.75519999999999,qmof-000dce3
218.1632,440.14040000000006,702.4835999999998,886.1129999999998,1016.0,2072.0,3168.0,3660.0,30.0,64.0,102.0,134.0,166.0,420.0,630.0,758.0,14.2046,33.174800000000005,51.060600000000015,62.650200000000005,qmof-000dce3
169.4682,326.66540000000003,524.5996,631.3050000000001,798.0,1544.0,2272.0,2466.0,22.0,46.0,74.0,92.0,124.0,320.0,438.0,476.0,10.3734,23.7346,35.3806,41.06520000000001,qmof-000dce3
169.4682,326.66540000000003,520.9036,601.6209999999999,798.0,1544.0,2260.0,2494.0,22.0,46.0,74.0,88.0,124.0,316.0,426.0,476.0,10.3734,23.7346,35.0994,40.28880000000001,qmof-000dce3
191.469,344.8214,572.8795999999999,675.5977999999999,958.0,1736.0,2676.0,3070.0,22.0,46.0,74.0,88.0,124.0,316.0,426.0,476.0,11.1078,24.781800000000008,37.69699999999999,43.62080000000001,qmof-000dce3
141.3994,280.551,453.5804,514.8969999999999,622.0,1248.0,1796.0,1882.0,20.0,42.0,68.0,80.0,114.0,292.0,388.0,412.0,8.882000000000001,20.9594,30.61480000000001,33.7552,qmof-000dce3
141.3994,280.55100000000004,453.58040000000005,514.8969999999999,622.0,1248.0,1796.0,1882.0,20.0,42.0,68.0,80.0,114.0,292.0,388.0,412.0,8.882000000000001,20.95940000000001,30.61480000000001,33.75519999999999,qmof-000dce3
218.1632,440.14040000000006,702.4835999999998,886.1129999999998,1016.0,2072.0,3168.0,3660.0,30.0,64.0,102.0,134.0,166.0,420.0,630.0,758.0,14.2046,33.174800000000005,51.060600000000015,62.650200000000005,qmof-000dce3
169.4682,326.66540000000003,524.5996,631.3050000000001,798.0,1544.0,2272.0,2466.0,22.0,46.0,74.0,92.0,124.0,320.0,438.0,476.0,10.3734,23.7346,35.3806,41.06520000000001,qmof-000dce3
169.4682,326.66540000000003,520.9036,601.6209999999999,798.0,1544.0,2260.0,2494.0,22.0,46.0,74.0,88.0,124.0,316.0,426.0,476.0,10.3734,23.7346,35.0994,40.28880000000001,qmof-000dce3
191.46899999999997,344.8214,572.8795999999999,675.5977999999999,958.0,1736.0,2676.0,3070.0,22.0,46.0,74.0,88.0,124.0,316.0,426.0,476.0,11.1078,24.781800000000008,37.69699999999999,43.62080000000001,qmof-000dce3
141.3994,280.551,453.5804,514.8969999999999,622.0,1248.0,1796.0,1882.0,20.0,42.0,68.0,80.0,114.0,292.0,388.0,412.0,8.882000000000001,20.9594,30.61480000000001,33.7552,qmof-000dce3
141.3994,280.55100000000004,453.58040000000005,514.8969999999999,622.0,1248.0,1796.0,1882.0,20.0,42.0,68.0,80.0,114.0,292.0,388.0,412.0,8.882000000000001,20.95940000000001,30.61480000000001,33.75519999999999,qmof-000dce3
218.1632,440.14040000000006,702.4835999999998,886.1129999999998,1016.0,2072.0,3168.0,3660.0,30.0,64.0,102.0,134.0,166.0,420.0,630.0,758.0,14.2046,33.174800000000005,51.060600000000015,62.650200000000005,qmof-000dce3
169.4682,326.66540000000003,524.5996,631.3050000000001,798.0,1544.0,2272.0,2466.0,22.0,46.0,74.0,92.0,124.0,320.0,438.0,476.0,10.3734,23.7346,35.3806,41.06520000000001,qmof-000dce3
169.4682,326.66540000000003,520.9036,601.6209999999999,798.0,1544.0,2260.0,2494.0,22.0,46.0,74.0,88.0,124.0,316.0,426.0,476.0,10.3734,23.7346,35.0994,40.28880000000001,qmof-000dce3
191.46899999999994,344.8214,572.8795999999999,675.5977999999999,958.0,1736.0,2676.0,3070.0,22.0,46.0,74.0,88.0,124.0,316.0,426.0,476.0,11.1078,24.781800000000008,37.69699999999999,43.62080000000001,qmof-000dce3
141.39939999999999,280.551,453.5804,514.8969999999999,622.0,1248.0,1796.0,1882.0,20.0,42.0,68.0,80.0,114.0,292.0,388.0,412.0,8.882000000000001,20.959400000000002,30.614800000000006,33.7552,qmof-000dce3
141.39939999999999,280.55100000000004,453.58040000000005,514.8969999999999,622.0,1248.0,1796.0,1882.0,20.0,42.0,68.0,80.0,114.0,292.0,388.0,412.0,8.882000000000001,20.95940000000001,30.61480000000001,33.75519999999999,qmof-000dce3
218.1632,440.14040000000006,702.4835999999998,886.1129999999998,1016.0,2072.0,3168.0,3660.0,30.0,64.0,102.0,134.0,166.0,420.0,630.0,758.0,14.204600000000001,33.174800000000005,51.060600000000015,62.650200000000005,qmof-000dce3
169.4682,326.66540000000003,524.5996,631.3050000000001,798.0,1544.0,2272.0,2466.0,22.0,46.0,74.0,92.0,124.0,320.0,438.0,476.0,10.3734,23.7346,35.3806,41.06520000000001,qmof-000dce3
169.4682,326.66540000000003,520.9036,601.6209999999999,798.0,1544.0,2260.0,2494.0,22.0,46.0,74.0,88.0,124.0,316.0,426.0,476.0,10.3734,23.7346,35.099399999999996,40.28880000000001,qmof-000dce3
