f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,MOFname,0
162.9008,367.22,682.7468,754.6384,2426,4712,6400,5312,22,52,92,100,144,376,576,524,13.4812,34.7292,57.2352,53.0424,3.61,24.624,32.585,41.838,841,870,928,1131,1,4,7,8,16,44,76,64,1.9044,4.0848,6.3342,6.6792,0,-5.36,-3.85,-6.82,0,86,171,193,0,0,0,0,0,5,9,16,0,2.56,5.07,6.2,147.9015,276.369,478.0034,577.8458,552,1020,1436,1562,22,42,74,88,116,278,344,350,8.243,18.4646,27.0714,30.8808,10.5376,10.2,25.6852,34.7548,56.5,55.5,117.25,148.75,1,1.25,3,4,1.75,6,10.25,11.25,0.5477,0.714175,1.47,1.8786,41.425,92.66,162.4294605,185.118302,0,0.8125,1.465,1.84,0,1.75,6.25,9.25,0,0,0,0,0,-2.5,-2.75,-1.75,0,-0.035,0.25,0.44,0,-5.925,-4.2053325,-1.8588875,11.8336,8.772,19.2296,34.3656,64,48,104,120,1,1,2,4,1,3,6,7,0.5329,0.5621,1.1096,1.6498,28.09,59.89,99.11,146.885366,0,0.89,1.29,3.77,0,2,3,17,0,0,0,0,0,-2,-4,-3,0,-0.04,-0.06,0.66,0,-6,-8.1,-6.51422,qmof-0000295,
129.193,230.7104,449.788,811.92,1413,3240,5140,4416,17,32,58,100,90,248,340,264,10.8324,22.7276,40.723,57.1956,3.5344,35.7952,47.94,97.6472,729,1188,1620,2376,1,6,10,20,36,96,180,240,1.5876,5.6196,9.702,15.1704,0,-7.76,-6.7,-14.34,0,118,210,452,0,0,0,0,0,20,30,80,0,3.1,4.9,13.16,175.3078667,372.98,605.0910667,684.7671333,2290.666667,2032,3146.666667,5093.333333,26.66666667,56,90.66666667,108.6666667,146.6666667,365.3333333,522.6666667,534,12.33586667,27.92533333,42.07626667,47.035,10.1056,13.26,27.11493333,15.47466667,54,72,107.3333333,64.66666667,1,1.666666667,3.333333333,2,3,9,12,8.666666667,0.552633333,0.957366667,1.495,0.944733333,45.87,131.4566667,166.050152,117.9084093,0,0.95,1.743333333,1.48,0,2,9.333333333,6,0,0,0,0,0,-2,-0.666666667,-2,0,-0.04,0.48,0.213333333,0,-7.2,-0.742813333,-4.671406667,9.422933333,18.156,39.97591111,23.72302222,312,136,213.1111111,483.5555556,1,2.333333333,5.333333333,3.111111111,6.333333333,21,25.77777778,16.88888889,0.723011111,1.412522222,2.3968,1.953911111,137.6277778,226.6277778,352.1825262,403.2372982,0,1.17,3.174444444,1.684444444,0,8.666666667,30.44444444,25.11111111,0,0,0,0,0,-1.333333333,4.888888889,-0.444444444,0,0.037777778,1.146666667,0.464444444,0,-6.311111111,6.158817778,1.861926667,qmof-00019ff,
360.9208,732.5964,1447.2576,1860.0432,4197,8928,14832,17572,49,108,186,260,294,776,1222,1484,26.9524,66.8528,111.0026,145.5416,2.993133333,27.6304,27.749,67.90153333,843,1052,2004,2482,1,4.666666667,6.666666667,13.33333333,22.66666667,54.66666667,108,145.3333333,1.673266667,4.4072,7.503533333,12.2438,0,-7.626666667,-4.34,-16.12666667,0,97.33333333,122,300,0,0,0,0,0,11.33333333,9.333333333,32,0,2.593333333,2.78,7.753333333,105.6264,213.7206,328.26616,375.8842,416.4,859.2,1141.6,1019.2,16.4,33.2,51.2,62,84.4,204.8,271.2,258,6.697,15.61868,21.87584,22.30492,11.46331429,9.733714286,21.78765714,18.056,61.85714286,53.14285714,110,90.28571429,1,1.142857143,2.285714286,2.142857143,1.428571429,4.285714286,5.714285714,6.571428571,0.537128571,0.6468,1.182857143,1.125385714,31.9,75.22571429,108.8321754,124.143604,0,0.902857143,1.142857143,1.835714286,0,2,3.714285714,5.285714286,0,0,0,0,0,-2,-1.714285714,-3.285714286,0,-0.04,0.068571429,0.037142857,0,-6.257142857,-5.430602857,-10.01631714,3.381028571,2.506285714,5.887314286,5.012571429,18.28571429,13.71428571,32,27.42857143,0.285714286,0.285714286,0.571428571,0.571428571,0.285714286,0.857142857,1.142857143,1.714285714,0.152257143,0.1606,0.312857143,0.3212,8.025714286,17.11142857,25.13714286,34.22285714,0,0.254285714,0.254285714,0.508571429,0,0.571428571,0.571428571,1.142857143,0,0,0,0,0,-0.571428571,-0.571428571,-1.142857143,0,-0.011428571,-0.011428571,-0.022857143,0,-1.714285714,-1.714285714,-3.428571429,qmof-0001b0d,
217.2248,456.9804,979.348,1369.7412,1096,2416,5180,6512,28,76,128,192,228,676,1068,1496,18.7612,53.8348,84.048,117.344,0.9604,13.4848,10.6134,18.8944,9,96,66,123,1,4,5,7,16,44,60,84,1.7689,3.8836,5.3333,6.5303,0,-9.84,-5.93,-12.42,0,-20,-7,-20,0,0,0,0,0,5,5,7,0,2.4,2.64,4.4,106.6916,166.719,288.8484,359.541,530,816,1248,1410,12,22,36,42,58,136,144,98,5.8428,11.4422,16.8564,17.9146,11.8336,8.772,22.10773333,36.06266667,64,48,109.3333333,162.6666667,1,1,2.333333333,3.666666667,1,3.333333333,6,6.333333333,0.5329,0.5621,1.194766667,1.720366667,28.09,59.89,106.542561,130.5943497,0,0.89,1.6,2.13,0,2,5,9,0,0,0,0,0,-2.333333333,-3.666666667,-2.666666667,0,-0.04,0.066666667,0.32,0,-6,-7.735703333,-5.20711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qmof-0003ae4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qmof-000512e,0
104.0691,184.04,327.566,503.616,2702,4128,3014,1152,14,26,42,64,68,174,220,164,6.8621,16.2936,22.609,21.9584,2.8561,29.068,30.927,20.2462,2304,1920,864,1344,1,5,8,4,25,65,60,50,2.1904,5.402,5.5648,4.44,0,-8.75,-4.78,-5.22,0,200,366,164,0,0,0,0,0,12,28,10,0,3.75,8.08,2.92,151.0794,289.986,472.4504,578.079,624,1200,1700,1548,22,44,72,90,116,284,376,394,9.1558,20.9132,30.5224,33.8058,11.8336,8.772,20.6056,23.908,64,48,112,64,1,1,2,3,1,3,5,5,0.5329,0.5621,1.095,1.1023,28.09,59.89,87.98,107.665366,0,0.89,0.89,3.37,0,2,2,16,0,0,0,0,0,-2,-3,-2,0,-0.04,-0.04,0.68,0,-6,-6,-4.41422,11.8336,8.772,20.6056,23.908,64,48,112,64,1,1,2,3,1,3,5,5,0.5329,0.5621,1.095,1.1023,28.09,59.89,87.98,107.665366,0,0.89,0.89,3.37,0,2,2,16,0,0,0,0,0,-2,-3,-2,0,-0.04,-0.04,0.68,0,-6,-6,-4.41422,qmof-0006638,
132.8138,260.6186,336.0786,383.3108,5000,3862,3972,3956,19,38,50,60,88,204,258,245,11.2913,22.5722,28.1912,29.6504,3.7249,12.8924,12.30375,26.50855,2209,728.5,705,1316,1,2,2.5,5,4,9,15,22,1.6384,1.8816,2.464,4.3392,0,-2.82,-1.55,-4.085,0,78.5,102.5,207,0,0,0,0,0,-0.5,-2.5,-1,0,1.09,1.275,3.01,118.7144,219.096,337.3204,385.632,548,1008,1456,1470,16,32,48,58,80,192,256,258,7.4224,16.2624,23.0448,24.9994,10.9696,11.016,23.36373333,18.73866667,59,60,107.3333333,82.66666667,1,1.333333333,2.666666667,2.333333333,2,6,8,7.333333333,0.542766667,0.759733333,1.3,1.126966667,36.98,95.67333333,136.635076,129.9617427,0,0.92,1.48,1.91,0,2,6,7,0,0,0,0,0,-2,-1.333333333,-2.333333333,0,-0.04,0.213333333,0.193333333,0,-6.6,-4.671406667,-7.371406667,10.9696,8.432,16.32106667,16.864,59,46,88.66666667,92,1,1,1.666666667,2,1,2.666666667,3.666666667,6,0.542766667,0.567233333,0.9225,1.134466667,36.98,67.8,86.52666667,135.6,0,0.756666667,0.756666667,1.513333333,0,1.666666667,1.666666667,3.333333333,0,0,0,0,0,-1.666666667,-2,-4,0,-0.033333333,-0.033333333,-0.066666667,0,-5.3,-5.3,-10.6,qmof-00089fc,
159.2102,303.5456,880.2258,922.4704,1124,3296,5914,5024,18,44,92,116,140,412,650,556,11.1496,32.1492,57.5994,60.4148,2.5921,33.2304,26.0981,38.5756,169,624,507,728,1,6,7,8,36,84,120,96,1.5876,5.5188,6.4008,7.56,0,-10.98,-4.94,-11.08,0,30,52,48,0,0,0,0,0,22,22,32,0,3.18,3.74,4.08,198.79905,371.23975,582.2956,750.7516,919.5,1693,2592.5,2914,26,52.5,81.5,107,134,331,476.5,559.5,12.139,26.78655,39.47815,48.0875,11.8336,5.848,13.73706667,5.848,64,32,74.66666667,32,1,0.666666667,1.333333333,0.666666667,0.666666667,2,2,1.333333333,0.5329,0.374733333,0.73,0.374733333,28.09,39.92666667,58.65333333,39.92666667,0,0.593333333,0.593333333,0.593333333,0,1.333333333,1.333333333,1.333333333,0,0,0,0,0,-1.333333333,-0.666666667,-0.666666667,0,-0.026666667,-0.026666667,-0.026666667,0,-4,-4,-4,7.994066667,11.03561111,13.38357778,27.51997778,41.55555556,36.77777778,70.05555556,126.7777778,0.666666667,1.444444444,1.5,3.111111111,3.777777778,7.055555556,9.944444444,16.44444444,0.358777778,0.592277778,0.827472222,1.5681,25.181,70.19925533,93.44470078,170.4857017,0,1.241111111,1.222222222,2.697777778,0,5.888888889,2.777777778,8.222222222,0,0,0,0,0,0.833333333,-1.333333333,-1,0,0.271111111,-0.027777778,0.141111111,0,-1.366641111,-7.072617222,-11.05378944,qmof-0009829,
126.1238,231.168,445.9952,511.872,2456,4608,4928,6144,14,32,48,64,80,192,256,320,10.067,24.2944,33.192,42.2816,2.7225,22.704,16.83,39.534,900,960,720,1680,1,4,4,8,16,32,48,80,1.7161,3.8252,4.0348,7.86,0,-7.16,-3.6,-10.76,0,88,96,184,0,0,0,0,0,8,4,12,0,2.32,2.16,4.48,171.8945667,333.2324333,538.0045333,637.4051333,802.3333333,1565.333333,2328,2575.666667,22.66666667,47.66666667,76.66666667,93.66666667,127.6666667,326,449.3333333,501.6666667,10.6372,24.55743333,36.74453333,42.52256667,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,7.637786667,10.59308,13.65152889,16.72202667,40.8,56.8,69.78888889,75.2,0.666666667,1.066666667,1.455555556,1.977777778,2.266666667,4.633333333,6.177777778,8.488888889,0.359266667,0.589946667,0.774823333,0.972371111,23.12050667,50.91746667,77.25162909,109.5146574,0,0.193333333,0.908,1.66,0,0.4,2.466666667,5.666666667,0,0,0,0,0,-0.255555556,-1.188888889,-1.355555556,0,-0.008,0.011777778,0.131111111,0,-1.284,-4.858424556,-6.777698222,qmof-000dce3,
90.277,177.9312,247.1396,266.8754,4903,8374,8058,6096,13,26,38,38,64,150,190,146,11.5762,24.063,36.0316,31.6922,3.61,16.606,23.921,38.361,841,1943,1566,1131,1,3,5,8,9,24,45,60,1.9044,4.002,6.1272,7.3692,0,-3.04,-3.09,-4.99,0,20,91,193,0,0,0,0,0,1,0,4,0,1.24,2.46,5.7,165.0589,368.5472,560.699,627.724,673,1574,2144,2008,26,56,86,100,142,350,490,480,11.1898,27.4128,39.5342,40.4908,9.2416,16.2488,26.068,26.068,49,87.5,112,112,1,2,3.5,3.5,4,11,17,17,0.5625,1.1475,1.72125,1.72125,54.76,152.81,242.402614,242.402614,0,0.735,2.065,2.065,0,1.5,8.5,8.5,0,0,0,0,0,-1.5,-1.5,-1.5,0,-0.03,0.33,0.33,0,-5.85,-6.85711,-6.85711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qmof-001ef83,
