MOFname,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,Density,Largest_free_sphere,Largest_included_sphere,Largest_included_sphere_along_free_path,NASA_A^2,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g,Unitcell_volume
qmof-cfb0f9e,0,0,0,2.2873,1.05616,2.92767,2.92767,0.494765,7.4305,3.24859,0,0,0,0,0,0,665.857
qmof-3b672a9,38.7524,983.917,634.778,1.55002,3.82174,4.3691,4.3691,0,0,0,106.775,0.2711,0.174901,0,0,0,393.858
qmof-71f390e,0,0,0,2.04161,1.56606,2.41031,2.16327,0,0,0,0,0,0,0,0,0,735.461
qmof-6919937,0,0,0,1.80452,0.94663,1.7446,1.6906,0,0,0,0,0,0,0,0,0,859.534
qmof-44ae5b4,0,0,0,1.83564,1.1068,2.57763,2.57763,0,0,0,0,0,0,0,0,0,984.661
qmof-aa90826,0,0,0,2.27927,0.71707,2.40615,2.39333,0,0,0,0,0,0,0,0,0,798.676
qmof-ec93474,0,0,0,2.21053,0.93123,2.46913,2.45743,0,0,0,0,0,0,0,0,0,1040
qmof-837f84a,0,0,0,2.00842,2.3012,3.23148,3.20529,2.97258,29.78,14.8276,0,0,0,20.1632,0.0202,0.0100577,998.179
qmof-07bf8f2,0,0,0,2.34173,1.5162,2.01185,2.01185,0,0,0,0,0,0,0,0,0,1030.9
qmof-d83e85c,0,0,0,1.52079,1.33232,2.50285,2.50285,0,0,0,0,0,0,0,0,0,863.254
qmof-f130ab1,0,0,0,1.20312,2.76553,5.09129,4.88901,186.671,775.271,644.383,0,0,0,372.008,0.1545,0.128416,2407.82
qmof-7a9a91d,0,0,0,1.28684,2.74985,4.89839,4.89839,520.104,1299.61,1009.92,0,0,0,1087.75,0.2718,0.211216,4002.01
qmof-766433e,0,0,0,1.55993,1.05432,2.14251,2.05362,0,0,0,0,0,0,0,0,0,752.071
qmof-2e4202b,0,0,0,1.48633,1.06738,1.59935,1.58806,0,0,0,0,0,0,0,0,0,862.95
qmof-546b738,0,0,0,2.2054,0.74962,1.8693,1.8693,0,0,0,0,0,0,0,0,0,454.834
qmof-137f122,0,0,0,1.82974,0.55843,1.1514,1.13325,0,0,0,0,0,0,0,0,0,523.341
qmof-803dd45,0,0,0,2.05351,0.90162,1.74843,1.74082,0,0,0,0,0,0,0,0,0,663.154
qmof-71a4d07,0,0,0,2.10377,0.80691,2.23186,2.22676,0,0,0,0,0,0,0,0,0,441.214
qmof-2397f35,0,0,0,1.63992,0.85104,2.09668,1.87274,0,0,0,0,0,0,0,0,0,815.012
qmof-82af598,0,0,0,2.3591,0.91785,3.04846,3.04846,3.70972,49.3123,20.903,0,0,0,18.8825,0.0251,0.0106396,752.29
qmof-908c20a,0,0,0,2.46387,0.69373,1.96079,1.94896,0,0,0,0,0,0,0,0,0,847.925
qmof-8547db1,0,0,0,1.78941,0.98302,1.38739,1.387,0,0,0,0,0,0,0,0,0,387.106
qmof-c67450f,0,0,0,1.71213,1.70203,2.50238,2.49729,0,0,0,0,0,0,0,0,0,971.237
qmof-1bae494,0,0,0,1.65399,2.54535,3.11464,3.11019,8.99086,53.1955,32.162,0,0,0,29.5777,0.0175,0.0105805,1690.16
qmof-268d1d4,85.6149,680.12,515.753,1.31869,3.14345,4.35465,4.28439,5.26526,41.8269,31.7185,191.089,0.1518,0.115114,16.2388,0.0129,0.00978242,1258.82
qmof-c5c5d13,0,0,0,1.63092,1.22833,1.95836,1.83862,0,0,0,0,0,0,0,0,0,549.664
qmof-d768aa1,0,0,0,1.71705,0.82998,2.07681,2.00959,0,0,0,0,0,0,0,0,0,723.668
qmof-3905c3b,0,0,0,1.82003,1.01199,2.14481,1.72057,0,0,0,0,0,0,0,0,0,1473.04
qmof-9a33911,0,0,0,1.47059,2.14572,4.35974,4.35561,338.124,958.465,651.755,0,0,0,730.599,0.2071,0.140828,3527.76
qmof-81f6b94,77.2824,419.547,200.953,2.08778,3.15227,3.80781,3.79566,0,0,0,193.231,0.1049,0.0502447,0,0,0,1842.05
qmof-12ba7bc,0,0,0,1.70841,1.08845,2.50357,2.50357,0,0,0,0,0,0,0,0,0,1099.21
qmof-274e985,0,0,0,2.67363,0.64099,1.56224,1.5583,0,0,0,0,0,0,0,0,0,1127.25
qmof-31d939d,0,0,0,2.4903,0.40575,1.21506,1.21506,0,0,0,0,0,0,0,0,0,560.86
qmof-214ca92,126.83,688.349,388.008,1.77406,2.88755,4.63766,4.45726,0,0,0,299.409,0.1625,0.0915978,0,0,0,1842.52
qmof-ff54923,0,0,0,2.28963,1.09681,3.78229,2.55609,8.3525,57.6455,25.1768,0,0,0,33.1808,0.0229,0.0100016,1448.94
qmof-8214361,0,0,0,1.69323,2.19959,3.09453,3.09425,3.55904,28.018,16.5471,0,0,0,29.9784,0.0236,0.0139379,1270.27
qmof-85bf949,0,0,0,1.62987,1.97874,2.38771,2.37646,0,0,0,0,0,0,0,0,0,474.996
qmof-3ca5d72,0,0,0,2.49668,0.83065,1.87599,1.71303,0,0,0,0,0,0,0,0,0,1280.59
