f-Z-0-all,f-T-1-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-T-2-all,mc-S-0-all,mc-S-2-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-2-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-Z-3,f-lig-S-0,lc-chi-0-all,lc-chi-1-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-2-all,lc-T-3-all,lc-S-0-all,lc-S-3-all,lc-alpha-1-all,lc-alpha-3-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-1-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-T-0-all,func-T-3-all,func-S-0-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,ASA_A^2,Density,Largest_free_sphere,NASA_A^2,Unitcell_volume,outputs.pbe.bandgap,MOFname
5324.0,810.0,2.9746,25.3392,16.19653333,62.5,633.0,858.0,2271.333333,2041.0,4.666666667,81.33333333,1.627066667,6.768533333,-7.126666667,-0.866666667,-16.30666667,75.66666667,30.66666667,207.6666667,2.666666667,0.813333333,6.44,1396.0,8.8486,9.2416,15.504,49.0,84.0,140.0,105.0,4.0,18.0,0.5625,1.9875,167.24,267.297842,0.98,1.82,3.5,2.0,-2.0,-2.0,1.0,0.34,1.1,-7.8,-4.90711,0.87867,9.2416,49.0,91.0,182.0,182.0,9.0,42.0,0.5625,2.28,2.865,54.76,200.592614,276.76,401.185228,1.82,0.98,3.64,8.0,2.0,16.0,2.0,2.0,4.0,0.34,-0.04,0.68,-4.90711,-7.8,-9.81422,0.0,2.02615,0.98621,0.267865,709.121,0.907097,qmof-cd31982
2698.0,348.0,2.7225,27.72,25.245,55.7865,900.0,1170.0,1080.0,2250.0,6.0,90.0,1.7161,6.0522,-8.55,-5.4,-14.01,111.0,144.0,285.0,12.0,3.24,7.04,1268.0,7.431933333,10.9696,11.016,59.0,60.0,119.0,88.0,2.666666667,9.333333333,0.542766667,1.309633333,95.67333333,147.3318417,0.92,1.363333333,2.306666667,2.0,-2.0,-2.333333333,-1.666666667,0.08,0.453333333,-6.6,-6.935703333,-4.142813333,3.944533333,21.33333333,32.0,56.0,58.66666667,1.333333333,9.333333333,0.177633333,0.8322,0.922233333,9.363333333,39.92666667,83.777683,91.740244,0.593333333,2.13,2.543333333,1.333333333,9.0,11.33333333,-1.333333333,-0.666666667,0.0,-0.026666667,0.32,0.44,-4.0,-5.20711,-4.942813333,200.312,1.04041,3.21481,0.0,956.345,1.835354,qmof-bed947e
7916.0,1308.0,0.7921,29.5124,16.3671,45.5235,3136.0,4088.0,5208.0,6216.0,8.0,290.0,3.8416,13.622,-24.26,-11.27,-36.02,487.0,355.0,841.0,51.0,8.73,21.41,4504.0,18.9498,11.8336,5.848,64.0,32.0,58.66666667,64.88888889,1.333333333,4.777777778,0.5329,0.779477778,39.92666667,82.50752033,0.593333333,0.843333333,1.324444444,1.333333333,-1.333333333,-1.444444444,-3.333333333,0.1,-0.013333333,-4.0,-2.435703333,-7.911901111,7.025066667,37.66666667,60.66666667,72.33333333,32.0,4.333333333,4.0,0.365133333,1.195,0.374733333,27.61666667,111.5458943,120.222766,39.92666667,1.2,2.123333333,0.593333333,4.0,14.33333333,1.333333333,-0.666666667,5.333333333,-0.666666667,0.086666667,0.88,-0.026666667,-5.635703333,5.450076667,-4.0,0.0,1.75216,1.18192,0.0,1199.36,2.718815,qmof-b935c43
2582.0,268.0,2.7225,20.724,31.0695,55.605,900.0,870.0,1320.0,2640.0,7.0,84.0,1.7161,7.0085,-5.96,-7.28,-12.25,91.0,166.0,302.0,7.0,3.82,8.2,870.0,6.427066667,10.1056,13.92204444,54.0,75.11111111,105.7777778,35.11111111,2.888888889,2.888888889,0.552633333,0.498066667,118.63,54.75005067,0.732222222,1.261111111,0.966666667,1.555555556,-1.555555556,-0.222222222,-0.888888889,0.315555556,0.142222222,-5.466666667,-1.161875556,-2.714271111,3.944533333,21.33333333,16.0,37.33333333,32.0,0.333333333,2.0,0.177633333,0.365,0.374733333,9.363333333,19.96333333,29.32666667,39.92666667,0.296666667,0.296666667,0.593333333,0.666666667,0.666666667,1.333333333,-0.666666667,-0.666666667,-1.333333333,-0.013333333,-0.013333333,-0.026666667,-2.0,-2.0,-4.0,436.232,0.982659,4.38503,0.0,1801.88,2.482917,qmof-13a76dd
2698.0,308.0,2.7225,27.72,25.245,56.19075,900.0,1170.0,1080.0,2265.0,6.0,90.0,1.7161,6.0522,-8.55,-5.4,-14.255,111.0,144.0,284.5,12.0,3.24,7.05,6262.0,18.6835,10.9696,11.016,59.0,60.0,120.1666667,145.3333333,2.666666667,12.83333333,0.542766667,1.784333333,95.67333333,200.227538,0.92,1.281666667,1.971666667,2.0,-2.0,-2.333333333,-4.333333333,0.083333333,0.053333333,-6.6,-6.285703333,-11.23570333,11.24450909,60.59090909,91.0,115.9526515,170.2727273,3.772727273,20.69128788,0.539627273,1.448735417,1.975352083,34.15136364,92.77090909,142.2897935,205.8168611,0.677727273,2.353939394,2.236837121,1.5,9.359848485,6.024621212,-1.100378788,-0.924242424,-3.106060606,-0.03,0.300492424,0.004507576,-4.704545455,-7.176063731,-13.11825477,233.532,1.30187,3.79665,0.0,1826.09,1.331892,qmof-f311c6d
2812.0,194.0,2.8561,27.716,33.293,44.9202,2304.0,1824.0,1824.0,2592.0,8.0,100.0,2.1904,7.9328,-7.95,-6.18,-9.68,202.0,346.0,426.0,20.0,6.48,7.98,1979.0,9.1244,10.5376,12.138,56.5,66.0,122.5,139.0,3.0,15.0,0.5477,1.84835,113.565,229.376307,0.935,1.6,2.045,2.0,-2.0,-2.0,-3.0,0.14,0.12,-6.9,-7.403555,-10.403555,5.6576,30.5,36.2,53.2,48.2,1.3,4.8,0.26941,0.5535,0.62068,16.712,36.028,51.916,71.3065228,0.227,0.454,0.978,0.5,1.0,3.0,-0.4,-0.8,-1.2,-0.01,-0.02,0.04,-1.59,-3.18,-5.001422,0.0,1.90982,0.9357,0.0,903.815,2.099065,qmof-72050a0
1768.0,492.0,2.7225,32.736,33.66,54.054,900.0,1380.0,1440.0,1800.0,8.0,144.0,1.7161,8.0696,-9.94,-7.2,-12.96,134.0,192.0,300.0,24.0,4.32,8.24,512.0,3.3174,10.5376,12.138,56.5,66.0,105.0,92.0,3.0,6.0,0.5477,1.09915,113.565,103.252614,0.935,1.775,1.085,2.0,-2.0,-1.0,0.5,0.34,0.37,-6.9,-4.00711,0.94289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60438,1.14863,6.25515,1290.07,2.873494,qmof-c61e5e0
5180.0,1008.0,2.4025,31.372,31.7285,55.1645,625.0,1175.0,1525.0,1975.0,9.0,132.0,1.9321,8.618,-10.94,-6.52,-16.99,103.0,164.0,221.0,32.0,6.31,8.08,1316.0,7.6636,11.1856,9.5262,60.25,111.0,165.25,91.75,3.25,9.25,0.5403,1.44735,141.185,181.2566385,1.1825,1.245,3.7025,-4.75,-2.75,-3.0,-1.25,0.05,0.8075,-16.725,-6.7017775,-5.792775,4.7961,225.0,450.0,120.0,195.0,16.0,20.0,1.1236,1.6006,1.6112,625.0,680.0,507.8555,467.5,-4.11,-0.38,-1.21,30.0,37.0,17.0,9.0,7.0,3.0,1.28,1.67,0.6,72.8,54.68578,31.3,0.0,1.83949,1.38215,0.0,946.263,1.256849,qmof-919ea19
2698.0,308.0,2.7225,27.72,25.245,59.301,900.0,1170.0,1080.0,2520.0,6.0,90.0,1.7161,6.0522,-8.55,-5.4,-16.14,111.0,144.0,276.0,12.0,3.24,6.72,6600.0,25.01513333,10.9696,11.016,59.0,60.0,140.0,125.3333333,2.666666667,9.666666667,0.542766667,1.482233333,95.67333333,145.5084093,0.92,0.653333333,1.346666667,2.0,-2.0,-2.0,-2.0,-0.026666667,0.22,-6.6,-5.2,-3.971406667,11.8336,64.0,67.11111111,114.6666667,229.3333333,4.0,22.77777778,0.5329,1.428772222,2.446716667,28.09,93.77832661,147.3903794,212.815935,2.032777778,2.661666667,3.007777778,7.611111111,8.333333333,9.111111111,-0.833333333,-1.888888889,-1.944444444,0.208888889,0.111111111,0.095555556,-7.094023889,-12.79283889,-15.12617222,962.65,0.740349,6.02439,0.0,3786.61,1.528102,qmof-54d276d
2936.0,1600.0,0.9604,16.856,18.5661,40.9493,9.0,120.0,133.5,291.0,9.5,135.0,1.7689,9.9617,-12.3,-9.635,-29.045,-25.0,-16.0,-58.0,20.5,5.145,7.66,1248.0,5.4828,11.8336,2.9412,64.0,29.33333333,46.66666667,57.33333333,0.833333333,2.166666667,0.5329,0.491533333,27.11833333,48.31833333,0.291666667,0.348333333,0.506666667,-1.0,-0.833333333,-0.833333333,-1.333333333,-0.016666667,-0.065,-3.35,-2.05,-4.7,2.793288889,39.33333333,87.55555556,78.88888889,40.88888889,2.666666667,1.333333333,0.2406,0.792866667,0.287133333,53.98666667,105.2355556,105.6133333,31.56444444,-0.082222222,-0.151111111,-0.28,2.0,1.777777778,1.555555556,0.444444444,0.666666667,0.888888889,0.06,0.064444444,0.068888889,2.266666667,2.333333333,3.6,0.0,2.02622,0.69469,0.0,649.098,3.396383,qmof-aac42c8
